Sr Ca Yb Li Mg Zn,Cu Ni Al Co Cr Fe Si,Zr Ti V Cu Ni Be,Co Fe Si B,Al Co Cr Cu Fe Ni,Cd In Na,Y Sc Al Co,Co Cr Fe Mn Ni,Cu Ge Li,Cr Nb Ti Zr,Ti Zr Nb Mo,Al Ru Ti,Au Pd Cu Si,Cu Zr Al Ag,Ti Ni Cu Sn Be,Cu Mg Sb,La Al Ni,Ce Al Ni Cu,Nd Al Ni Cu Fe,Mg Cu Ag Pd Gd,Sr Ca Yb Mg Zn,Zr Hf Ti Al Cu Ni,Al Cr Mo Ta Ti Zr,Nb Mo Ta W,Bi Cu Mg
1.0 1.0 1.0 0.55 0.45 1.0,0.5 1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,0.25 1.0 1.0 0.75 1.0 1.0,1.0 3.0 2.0,36.0 20.0 24.0 20.0,1.5 0.5 1.0 0.5 1.0,1.0 1.0 2.0,1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,16.0 8.0 6.0,52.0 2.3 29.2 16.5,43.0 43.0 7.0 7.0,50.0 20.0 25.0 3.0 7.0,1.0 1.0 1.0,55.0 25.0 20.0,60.0 10.0 10.0 20.0,60.0 10.0 10.0 10.0 10.0,65.0 15.0 5.0 5.0 10.0,1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0 1.0 1.0,1.0 1.0 1.0 1.0,1.0 1.0 1.0
0.0,0.0769230769230769,0.1666666666666666,0.0,0.15,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.292,0.43,0.238095238095238,0.3333333333333333,0.0,0.2,0.1,0.15,0.0,0.1666666666666666,0.0,0.0,0.3333333333333333
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.1748741039720852,0.1368382009810143,0.1831716439053544,0.2277791230707337,0.0686638173697761,0.0924046174838573,0.2165410099301006,0.0345625358713875,0.1158467263876549,0.0865831381338077,0.0575545968991177,0.2027018323702936,0.1500210199766729,0.1867329951781767,0.1191301827142291,0.040119533684343,0.198778793765877,0.1424143477678639,0.1809881817781296,0.1698657473524397,0.1886890043325575,0.1969686730945931,0.1662356686173613,0.0202855051443724,0.0065321642603838
